id,text,numeric_labels,sexist,predicted_label_1,correct_yx,predicted_label_2,predicted_label_3,predicted_label_4,predicted_label_5,average_pvi,average_el2n,average_vog,misclassification_number
12144,FETISHIZATION ALERT MENTION3680 it's time for Fox to get a new sideline girl. i vote for a nice Filipina holding the mic,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.1131508075159721,1.2771529674530029,-1.0821590754007313,5
13462,"guys suck, truly :slightly_smiling_face:",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-2.875686234391305,1.3940628290176391,-1.0839846723691415,5
7361,Kat & Andre cartoon characters.Kat develop sportsmanship & Andre grow some balls & take it like a man! #MKR #cantcook http://t.co/9nd2gUHGH0,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-2.625605140757931,1.3900574684143066,-1.0822179426126504,5
11303,".MENTION470 MENTION3363 Way way more than one...and why not...that's how they arrive at ""male privilege""? #AntiSJW http://t.co/LmPvPJvsyx",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.7440445673182257,1.3229025840759276,-1.0830705431093786,5
3034,"seeing all the drunk bitches pissing in alleys yesterday was disgusting #Ratchet""",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.6140294739709593,1.2818906545639035,-1.083931405263892,5
12199,"RT MENTION347 No sexist, but I like how Arya's a ""boy,"" now, yet she's washing dishes, still. #Lol #GoT",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.984825820369604,0.8413850903511048,-1.0834263933859156,4
2592,MENTION2692 I prefer male voices. Needs to be offset with a female though. Seems to work in afternoons.,1,True,LABEL_1,True,LABEL_0,LABEL_1,LABEL_0,LABEL_0,2.2506742118806207,0.728159236907959,-1.0826417687385663,3
9641,Cat get onto the keyboard again? MENTION4323 I'm not sexist but I don't believe in equality.,1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_1,LABEL_0,2.174944295485271,0.7565501689910888,-1.0806758085651649,3
13184,#IDontNeedFeminism #FemFreeFriday http://t.co/PnhzjRhHqR,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.3481361709609341,1.2301822662353517,-1.080665714588421,5
8171,"""MENTION1108: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_1,LABEL_0,1.9957093389132197,0.8307944774627686,-1.07772053071897,4
4050,"Okay, it really bugs me when audio books of Whitman's poetry are narrated by women. >.<",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.1683832209024496,0.7686710834503174,-1.0818626264496096,4
11118,Idc wat n e body says but men are dramatic...the shyt is tru....#JudgeMe....goodnight:victory_hand:,1,True,LABEL_1,True,LABEL_1,LABEL_0,LABEL_1,LABEL_0,2.3467813145043674,0.6789974808692932,-1.0838592687658355,2
6149,"MENTION812 We are not designed to do it full time, its a Woman's role. But like I said I've been there.",1,True,LABEL_0,False,LABEL_1,LABEL_0,LABEL_0,LABEL_0,2.0993611607299405,0.7904952764511108,-1.0719772075805205,4
356,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job #IWD2017,1,True,LABEL_0,False,LABEL_0,LABEL_1,LABEL_0,LABEL_0,1.5224296161010815,0.9429445743560791,-1.083961059238235,4
9622,- I was raised to hustle like a man so that I'd never have to depend on one. :hundred_points:,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.138847874818812,1.0530224561691284,-1.0634328010994332,5
7897,"Oh, b/c see Emma, like many WW seem to think ""male gaze"" is only sexual. When their feminism CENTERS WM & Whiteness over BW, as practice.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.7679657079449025,0.9162629961967468,-1.0466774206412346,5
7233,"but also at the foundation of every great man, is the love of a woman.

(To The Women I Once Loved)",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.554925875052828,0.990361988544464,-1.0606498356945202,5
5578,MENTION2540 Uh Mature? that rules most of us guys out of the running. MENTION1116,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-3.566689659831906,1.4016385793685913,-1.0826578068350765,5
11519,"""hard to sympathise when rookies complain of being leered at after putting their breasts in push-up bras on display"" - ?",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.806089149746611,0.9086576938629152,-1.0841666211992824,5
7662,"Tattoos on guys: :smiling_face_with_heart-eyes:; tattoos on girls: :unamused_face:. Idk why though, it is what it is lol.",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_1,LABEL_0,2.223866405225592,0.7437058210372924,-1.0810353602086515,3
6025,A working woman who sends her six months old baby to a daycare center is a bad mother,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.6239428528609805,0.9713100790977478,-1.0840185868648669,5
2621,Hillary is still a woman.  She is wired to nurture.  Wired to resolve conflict instead of promoting conflict.,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.7075493183798026,1.1702744007110597,-1.079805583009901,5
3594,"I think it is right that in my circles of friends, my future domestic activity is considered more important than my professional activity.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.6174159146150504,1.1837568283081057,-1.033272623710972,5
13516,They all I've done was make sure my wife doesn't escape from the kitchen. Would you call a zookeeper sexist?,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.000140677026692,0.8367610096931457,-1.0461472471455902,5
6345,"the true definition of a  #goddess is a good house wife and mother who also has good health,looks and physique.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.8620439423005544,0.8908249258995056,-1.046248104950818,5
11980,Truly #adaywithoutwomen should be renamed a day without cry baby feminists. No respectable lady w/ a real life acknowledges such nonsense.,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.3731283466318496,0.998563826084137,-1.0119789015654796,5
509,If you have boobs and you play cod you are automatically a successful youtuber. shit its true idgaf,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.7790151434563028,0.9195074439048768,-1.0837313524018364,5
11896,isnt the girlfriend always right even if shes wrong?,1,True,LABEL_1,True,LABEL_1,LABEL_0,LABEL_0,LABEL_0,2.1881024050806768,0.7517650604248047,-1.0840515844153096,3
11950,"Where would we be without the love of a woman?
Standing behind her man even when he's wrong :musical_score:",1,True,LABEL_1,True,LABEL_1,LABEL_1,LABEL_0,LABEL_0,2.340647950954839,0.689841115474701,-1.084288232922726,2
1313,MENTION3275 I hate divorced receptionists. They always give me attitude like I'm the reason their bf broke up with 'em,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.4580120085030508,1.0194666028022763,-1.084180097972448,5
11707,"i love that. adults shouldn't be dramatic, shouldn't fuss like old ladies and get emotional and moody at the drop of a dime",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.8755388417355716,0.8768178343772888,-1.0836916018139429,5
4915,RT MENTION528 Richard Petty was right. If Danica P was a male no one would know she was on the race track. #notsexist #Daytona500,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.5778285519666315,0.9639188170433044,-1.0833144205251566,5
12106,i wish augusta had kept the membership open to men only #tradition,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.934883194598884,0.8559636950492859,-1.0828388407280989,5
332,MENTION3227 MENTION269 its a very good point. I renege at a man telling me what skin care and make up I should use,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.613250192146016,0.9475093960762024,-1.070097138782902,5
4265,I'm already running late and now I gotta park my new car on the road! 90% of the chicks CANNOT drive! >:O,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-2.271317706316871,1.3816482067108151,-1.0815278069269234,5
8644,"Time to get up and walk like a man
 https://t.co/btXwG2trT1
#heatlhtips #drdavidsamadi #menshealth",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.6086700771059379,1.1889367341995238,-1.0825097838104092,5
810,"MTV2's making the show ""Girl Code"". No. I'm sorry ladies, Girl Code"" Doesn't exist. You all fucking hate each other.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.0253997605365737,1.2637584447860717,-1.0803709374428117,5
7885,"""MENTION4170: when I play Sims 3, I put my wifes bed in the kitchen :D"" lmao",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.7937259011786416,1.1378335237503052,-1.0837891685230978,5
10098,"""Bitches still come chill & sex this!"".. KAPLOW!!",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.2391676902399301,1.227611517906189,-1.082915794236059,5
1055,The women’s liberation movement exaggerates the problem’s faced by women in American society,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.8651510795441548,0.8850716948509216,-1.0836222036778316,5
540,"Your man isn't your man until he proves so. Let him step up to the plate and make mature moves like a man, like he should.",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.079668283353264,0.8042434930801392,-1.082936804832597,4
6475,MENTION383 He sounds like a very foolish guy who really ought to act like a man or should I say gentleman.,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.3332639698567188,1.0270079374313354,-1.0833145708580825,5
12542,I'm not sexist but also definitely not a fan of the rumour of Ghostbusters 3 with women. What next? Steel Magnolias 2 with dudes?,1,True,LABEL_1,True,LABEL_0,LABEL_1,LABEL_0,LABEL_1,2.381709227796428,0.6607839226722717,-1.083368276453283,2
1600,"""We're not just the dumb blondes with the pretty faces"" you're certainly not the second part anyway #mkr",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-1.5722729148358985,1.352257394790649,-1.083898411328145,5
4211,MENTION2544 MENTION3401 I don't think I've ever heard a song with a chick in it that I fuck… https://t.co/VucgNhtUuo,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.84652312600581,0.8974240183830261,-1.0803512453021802,5
3536,"RT MENTION4434 MENTION654 If you have a vagina, don't try and be funny.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.1250725497574765,1.0818442344665526,-1.0816161970993825,5
12627,MENTION1047 MENTION1497 pls don't the Trump womrn supporters paid or no r so much hotter :) https://t.co/h9GZsA1ENN,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-1.884888082556512,1.366530179977417,-1.0810817767320522,5
9336,I never knew it was possible for a wife to be legitimately winning at Scrabble with only three tiles left. Shit...,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.953674025440829,0.854206895828247,-1.0817153719756143,5
8589,No one cares what u think. MENTION2092: heels > no heels. Sorry ladies. Also nasty nails = vomit. Look clean at least.,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.532044905110719,0.9991689205169678,-1.0760685166264277,5
5668,Look mum.. Left right left right.. I'm a model.. No sweetie you're a promo girl... Here's your bikini go sell some shots! #MKR,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.2728875201136147,1.0425650477409365,-1.0827399965936173,5
11421,MENTION1692 MENTION2822 see that's the thing you want to you yourself need to make sexist generalizations about men,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.968365150501168,0.8521270394325257,-1.0840516230768382,5
10070,MENTION3473 MENTION3438 #feminism has abused the words #sexism and #rape so much they means nothing now so go on do F OFF,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.5331550917550442,1.3142330646514893,-1.083824534496697,5
13277,"MENTION996 MENTION788 not really sexist though is it, taking the piss out of feminists, not women.",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_1,LABEL_0,2.4081346769033893,0.650135087966919,-1.0839273860598306,3
11984,"As a man, I would have worded that sentence twice as good https://t.co/9l8dZrjitN",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.092822062849375,0.7951026320457458,-1.0840702352965572,4
4764,You've got a strong grip for a girl https://t.co/AHHM9Pw48V #counterculture #cnd #banthebomb #peace #love #ageofaquarius #viral #hippy,1,True,LABEL_0,False,LABEL_1,LABEL_0,LABEL_0,LABEL_0,2.1079881557040574,0.7920824885368347,-1.0834895220156149,4
10872,"MENTION1544 MENTION1060 I remember/respect your story but, no...convo was about feminists opposing common sense preventative measures.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.8683536625958481,1.3115825653076172,-1.0835457822693833,5
11821,"RT MENTION2289 spouses should know how to cook, clean , and act like a proper spouse.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.0024886354523798,1.2537471294403075,-1.0837596059697072,5
2556,There is nothing a man of good sense dreads in a wife so much as her having more sense than himself. - Henry F #ALDUBxDTBYAparisyon,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.1335392184516102,1.2409938097000122,-1.080489814710044,5
372,Lol! R/t MENTION660: I don't think women should participate in Movember...like the physically growing a mustache part.,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.047111781689602,0.8207632422447204,-1.0796671350697844,5
1176,Discrimination against women is no longer a problem in the United States.,1,True,LABEL_1,True,LABEL_1,LABEL_0,LABEL_1,LABEL_0,2.333096182386697,0.6918470740318299,-1.0805665519096048,2
2533,"Being a #Woman is Terribly Difficult Task, Since it Consists Principally in Dealing With #Men.
.
#suspendjavedlatif
#RIPBIG
#womensday
Enem",1,True,LABEL_1,True,LABEL_1,LABEL_1,LABEL_0,LABEL_0,2.2675893373493263,0.7181109666824341,-1.0832223613142822,2
7967,"“Women perform better than men in pressure situations” #womensday 
https://t.co/q4kKRbepOs",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.681690000415853,0.9503122568130492,-1.0835102290184555,5
2262,"""Seeing as you two think this is a modelling competition and not a cooking competition, I give you two a score of -10 for your looks."" #MKR",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-3.742220664788897,1.4035101890563966,-1.081201839270242,5
4971,"She's crying over how poorly she raised you. MENTION2293 Where's my mother, I'm in need of a sandwich #notsexist",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.1096426760543738,1.277836060523987,-1.0789753450059187,5
10921,"i love that. adults shouldn't be dramatic, shouldn't fuss like old ladies and get emotional and moody at the drop of a dime",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.8755388417355716,0.8768178343772888,-1.0747517296266134,5
2892,All Combat Roles Now Open to Women https://t.co/vC6duKKGTc I can't say I agree with this.,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.124086862238345,0.7869689226150512,-1.0838192115574463,5
942,there should be a weight limit on women wearing yoga pants..seeing an image of 2 babies fightin… https://t.co/jOgRQnUDzz,1,True,LABEL_0,False,LABEL_1,LABEL_0,LABEL_1,LABEL_0,2.2349887663140877,0.737199890613556,-1.0836623014220357,3
7787,Real women don't go along w/ #adaywithoutwomen crap! It's a fake cause manufactured by corporations. #Stopit #yourefired,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.358879825253675,1.0379546880722046,-1.08340871438052,5
4231,KAT IS A FUCKING CUNT #mkr,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-4.198866348873832,1.4063645124435424,-1.0834445746128305,5
11481,"A woman’s guess is much more accurate than a man’s certainty – Rudyard K

 #womensday",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_1,LABEL_0,1.929575375869856,0.8568630456924439,-1.0816643598817144,4
13522,"In an emergency, women and children should be evacuated first",1,True,LABEL_0,False,LABEL_1,LABEL_0,LABEL_1,LABEL_1,2.358003960506479,0.6710714936256409,-1.0840695457627851,2
8348,"Be like a child with your wife but when she needs you, be like a man.""

- Umar i https://t.co/DtVknJ9dUr",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.9757680211948624,1.1234589576721192,-1.0835543858622525,5
8408,"THIS!!! “MENTION1142: I only catch males when I play pokémon, #bitchesdontcutit”",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.6324927198132961,1.1762901544570925,-1.0820768091282198,5
397,Many of those in women’s rights organizations today seem to be unhappy misfits,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.6902010625499824,0.9337356090545654,-1.0842133289065068,5
6954,"MENTION2263 They'll if you look at polls it's generally ""women voters"". Never make up their minds… https://t.co/3AqTyRRcVE",1,True,LABEL_0,False,LABEL_1,LABEL_1,LABEL_0,LABEL_0,2.0884210842822446,0.7968310832977294,-1.0838823380567455,3
8848,putting the bins out is such a mans job :face_with_medical_mask::face_with_medical_mask::face_with_medical_mask::face_with_medical_mask::face_with_medical_mask::face_with_medical_mask:,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-3.423878518839042,1.4005099058151245,-1.0841550245277438,5
12234,The most important qualities of a real man a strength of will and determined ambition,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.8178271147460017,0.8995957732200622,-1.0793616146933611,5
11549,"MENTION772 on Radio4 now:""I think like a man, with the emotions of a woman"". Beautifully put Suzi, I identify with that. #Legend",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.6649168721841401,1.173173999786377,-1.0816174451181988,5
10699,And her brain is like a man. Trash https://t.co/3SvBOnYuB5,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.7172326921437535,0.937753450870514,-1.0791391378247035,5
8883,"When a girl cries for a guү, it means she reallү misses him. But when a guү cries for a girl, nobodү can love that girl more than him.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.5661816071234411,0.9867800712585448,-1.081862986429068,5
6570,"MENTION3900 USA needs armies of strong men leaders who fight for the protection, respect, purity & rights of women.",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.1492537161871845,0.7667250871658325,-1.0823882333854535,4
240,MENTION1342 No one watches women’s basketball I mean seriously not a lot of people do. So the pay is go… https://t.co/m9DD9njlak,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.071970577045073,1.1084609746932983,-1.08121290939528,5
1820,"Lol. How cute? ""God's"" sexuality is Shrodinger's cat. RT""MENTION3327: I think God is male... https://t.co/MNMcestg9x""",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.5315867046778205,1.3132694005966186,-1.0785374909559589,5
10453,"""MENTION2934: NoShaveNovember is like the He Man Woman Haters Club, NO GIRLS ALLOWED!"" THANK YOU!",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_0,LABEL_1,2.299747686851659,0.706732165813446,-1.0824871583179891,3
9886,Real women don't go along w/ #adaywithoutwomen crap! It's a fake cause manufactured by man-hating feminists/lesbians. #Stopit #yourefired,1,True,LABEL_0,False,LABEL_1,LABEL_1,LABEL_1,LABEL_0,2.3822714612899767,0.6643763542175293,-1.079128098974642,2
5145,A man who doesn’t provide well for his family ought to consider himself pretty much a failure as a husband and father,1,True,LABEL_1,True,LABEL_1,LABEL_0,LABEL_1,LABEL_0,2.4041223530662155,0.6525178611278534,-1.0837647622837074,2
6369,"RT MENTION4672 iBelieve Sum Chores R 4 Men like taking out the trash, cutting grass, n shoveling snow",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.042190166572526,0.8188589453697205,-1.0833491379198938,5
1412,"men are typically the ones who watch the superbowl. What MAN wants to listen to Bruno M' ""Just the Way You Are""?",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_1,LABEL_0,1.753788258309529,0.9072760820388794,-1.0804931230996129,4
7507,"RT MENTION2838 xbox's were designed for gamers and make up was designed for beauticians, get the idea #promise #lol",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-2.9183000910255865,1.394232988357544,-1.0834726084409605,5
